,0
140,0.01
145,0.01
159,0.01
83,0.01375
10,0.0175
132,0.0175
156,0.0175
143,0.02125
68,0.0225
78,0.02375
175,0.02375
87,0.0275
122,0.04375
142,0.0475
130,0.0575
51,0.075
91,0.0775
69,0.08625
9,0.095
74,0.14625
155,0.1525
102,0.18625
172,0.19375
173,0.225
108,0.22625
52,0.24
41,0.24125
129,0.25
137,0.2525
76,0.295
165,0.3
166,0.31
14,0.355
134,0.365
71,0.40625
126,0.445
54,0.475
45,0.495
161,0.495
89,0.575
163,0.615
63,0.675
157,0.69
0,0.735
177,0.75
98,0.765
46,0.805
168,0.825
73,0.945
124,1.06
24,1.08
120,1.08
37,1.1
103,1.115
59,1.125
131,1.13
160,1.195
180,1.24
2,1.32
35,1.32125
144,1.335
128,1.365
22,1.425
86,1.47
79,1.535
25,1.605
105,1.69
133,1.775
72,1.835
97,1.845
67,1.895
138,1.91125
119,1.925
81,1.99
148,2.01
6,2.015
154,2.045
182,2.055
15,2.16
88,2.195
82,2.29
127,2.435
139,2.44
158,2.475
11,2.525
125,2.525
110,2.545
34,2.56
183,2.66
77,2.695
29,2.715
116,2.765
123,2.785
136,2.865
12,2.895
85,2.905
19,2.98
60,3.04
170,3.115
44,3.145
64,3.245
174,3.255
149,3.29
5,3.315
84,3.455
8,3.46
150,3.485
178,3.57
90,3.585
181,3.805
13,3.825
115,4.22
26,4.255
53,4.275
1,4.31
167,4.33
75,4.51
16,4.525
176,4.635
99,4.735
61,4.88
65,5.07
17,5.075
7,5.175
36,5.315
42,5.325
164,5.45
179,5.54
70,5.875
96,5.935
188,6.025
189,6.06
39,6.125
38,6.19
32,6.38
4,6.415
187,6.46
106,6.51
93,6.58
151,6.63
47,6.73
185,6.735
94,6.76
3,6.765
66,6.975
48,7.035
113,7.12
114,7.36
18,7.385
23,7.43
146,7.545
147,7.565
101,7.77
20,7.82
104,7.94
80,7.945
118,8
57,8.145
117,8.235
92,8.265
135,8.51
121,8.575
112,8.59
111,8.75
30,9.215
55,9.46
169,10.155
21,10.175
107,10.835
49,11.045
62,11.075
141,11.42
186,11.535
153,11.71
58,11.89
95,12.325
27,12.415
31,17.465
162,19
50,20.745
43,21.89
109,21.95
33,21.98
40,22.395
184,22.485
28,24.865
171,26.895
152,27.365
100,28.13
56,30.14